date,model_key,model,gross_return,turnover,cost,net_return,holding_count
2021-12-31,benchmark,全市场等权,-0.08814765075999968,0.0,0.0,-0.08814765075999968,4167
2021-12-31,logistic_regression,逻辑回归,0.0060241694013140985,1.0,0.001,0.0050241694013140985,834
2021-12-31,decision_tree,决策树,-0.0384936530017189,1.0,0.001,-0.0394936530017189,1171
2021-12-31,random_forest,随机森林,-0.017821365472745605,1.0,0.001,-0.018821365472745606,834
2022-03-31,benchmark,全市场等权,-0.024031136253123378,0.0,0.0,-0.024031136253123378,4217
2022-03-31,logistic_regression,逻辑回归,-0.004516401887296814,0.4881516587677725,0.0004881516587677725,-0.005004553546064586,844
2022-03-31,decision_tree,决策树,-0.028818070131330597,0.8454312553373186,0.0008454312553373186,-0.029663501386667915,545
2022-03-31,random_forest,随机森林,-0.00410763709688734,0.5402843601895734,0.0005402843601895734,-0.004647921457076914,844
2022-06-30,benchmark,全市场等权,-0.09924381527403361,0.0,0.0,-0.09924381527403361,4262
2022-06-30,logistic_regression,逻辑回归,-0.029585243228767925,0.3739742086752638,0.0003739742086752638,-0.02995921743744319,853
2022-06-30,decision_tree,决策树,-0.04659971031793011,0.7823596792668958,0.0007823596792668958,-0.047382069997197004,873
2022-06-30,random_forest,随机森林,-0.03620624513221941,0.39742086752637756,0.00039742086752637756,-0.03660366599974579,853
